"","SEXO","EDAD_MADN","1985","1984","1983","1982","1981"
"1",1,12,18,8,8,5,15
"2",1,13,125,19,30,23,34
"3",1,14,704,101,99,126,117
"4",1,15,2381,325,350,260,330
"5",1,16,4958,943,644,682,532
"6",1,17,9433,1484,1116,825,852
"7",1,18,12445,2019,1187,1166,1078
"8",1,19,15381,1957,1547,1384,1266
"9",1,20,15096,2257,1700,1467,1469
"10",1,21,15594,2466,1688,1577,1355
"11",1,22,16747,2445,1645,1465,1165
"12",1,23,16302,2346,1659,1209,1166
"13",1,24,15750,2272,1270,1191,1012
"14",1,25,15083,1881,1357,1069,1106
"15",1,26,13078,1966,1126,1154,737
"16",1,27,12089,1582,1271,733,773
"17",1,28,10861,1804,851,791,702
"18",1,29,11156,1176,837,719,552
"19",1,30,8597,1103,787,639,753
"20",1,31,7264,1082,636,654,666
"21",1,32,6903,930,735,654,512
"22",1,33,5918,1079,739,459,577
"23",1,34,6198,967,552,509,454
"24",1,35,5750,748,586,452,474
"25",1,36,4477,780,472,482,273
"26",1,37,4156,691,564,258,267
"27",1,38,3488,706,268,260,243
"28",1,39,3412,389,250,273,220
"29",1,40,2002,324,238,207,230
"30",1,41,1477,300,192,217,187
"31",1,42,1338,228,190,150,110
"32",1,43,942,211,143,115,99
"33",1,44,825,183,71,90,82
"34",1,45,532,71,86,82,72
"35",1,46,272,93,62,81,33
"36",1,47,230,45,55,25,36
"37",1,48,154,54,25,29,24
"38",1,49,116,21,19,16,18
"39",1,50,68,19,16,19,24
"40",1,99,1462,431,324,352,321
"41",2,12,25,6,4,2,13
"42",2,13,111,15,23,19,39
"43",2,14,720,108,94,124,91
"44",2,15,2221,317,311,291,307
"45",2,16,4795,892,646,663,530
"46",2,17,9014,1343,1086,867,880
"47",2,18,12001,2008,1195,1101,1104
"48",2,19,14456,2053,1402,1450,1249
"49",2,20,14325,2168,1720,1506,1406
"50",2,21,15131,2433,1621,1468,1426
"51",2,22,16402,2424,1623,1440,1222
"52",2,23,15664,2350,1600,1208,1113
"53",2,24,15539,2314,1388,1173,1044
"54",2,25,14456,1923,1292,1075,1142
"55",2,26,12673,1823,1170,1105,775
"56",2,27,11866,1560,1314,817,801
"57",2,28,10649,1800,840,771,686
"58",2,29,10799,1258,854,666,638
"59",2,30,8404,1145,802,600,723
"60",2,31,7278,1058,680,693,675
"61",2,32,6729,951,758,619,528
"62",2,33,5878,1098,707,519,550
"63",2,34,6032,1077,487,511,461
"64",2,35,5709,779,583,436,499
"65",2,36,4326,808,474,456,281
"66",2,37,4286,670,515,264,263
"67",2,38,3482,673,295,282,281
"68",2,39,3199,366,291,241,243
"69",2,40,1955,338,251,211,253
"70",2,41,1493,279,205,233,188
"71",2,42,1318,247,209,169,120
"72",2,43,982,221,145,86,99
"73",2,44,844,134,88,112,81
"74",2,45,541,90,78,68,82
"75",2,46,271,77,61,49,26
"76",2,47,207,74,45,24,40
"77",2,48,159,40,25,30,22
"78",2,49,115,35,18,24,9
"79",2,50,62,17,22,4,16
"80",2,99,1458,425,360,324,302
"81",9,16,18,4,2,4,4
"82",9,17,40,9,8,1,6
"83",9,18,91,13,6,9,3
"84",9,19,90,11,10,5,4
"85",9,20,89,12,9,8,2
"86",9,21,85,16,13,10,12
"87",9,22,93,17,11,9,6
"88",9,23,104,18,14,6,7
"89",9,24,85,21,7,10,4
"90",9,25,108,9,9,3,9
"91",9,26,83,8,8,11,5
"92",9,27,69,7,4,14,5
"93",9,28,80,8,5,9,3
"94",9,29,61,7,6,5,4
"95",9,30,71,9,7,3,3
"96",9,31,46,9,2,1,3
"97",9,32,53,4,6,3,3
"98",9,33,51,8,5,3,3
"99",9,34,32,9,7,7,5
"100",9,35,46,8,2,1,1
"101",9,36,29,4,2,1,2
"102",9,40,20,3,1,1,3
"103",9,41,9,1,2,1,2
"104",9,42,6,2,3,2,1
"105",9,99,15,3,5,5,4
